Sample	AMY1C	CCDC60	FCER2	FERMT1	HOXA3	HOXC6	MROH2A	ONECUT2	STOML3	riskScore
1	5.452965676	8.562600779	4.779823588	9.618643471	9.056952716	7.85380944	4.901837834	4.417841973	5.467125616	-8.467
1	5.788043787	8.204618175	4.867897474	11.03366897	10.27912997	9.210449475	4.493050267	3.948964632	5.253614427	-6.787
1	9.424092106	8.747577302	5.438169002	9.206898744	7.588004675	7.106611662	4.960114357	4.215555554	5.226536389	-10.567
1	8.171294188	8.018762044	5.223912931	10.41295054	8.601017157	9.970974344	4.292445763	4.459553043	5.424821273	-8.573
1	7.352077002	8.226409465	4.587613556	10.31325765	5.790719791	8.446730278	4.582822748	4.772273112	5.296183113	-8.329
1	5.252665449	7.979799855	4.941795652	9.874739744	9.195295498	8.527181827	4.529052302	4.526695078	5.533474725	-7.878
1	7.00455898	8.379781241	5.043788934	9.860413416	7.786276035	8.734786722	4.659892697	4.044848612	5.31610991	-8.613
1	9.019041192	8.007216724	4.645181302	10.61505837	9.138786275	10.46549121	5.040029033	4.610595236	5.141296578	-9.199
1	9.904020022	8.092171325	4.897566094	9.112605618	5.533682731	7.639398395	4.403866161	4.667588315	5.209474098	-10.297
1	7.691752898	8.021620406	4.895125139	9.241045264	8.646374447	10.91151552	4.324249014	4.379630075	5.225769014	-8.982
1	5.734780716	8.179717264	4.919750776	9.863754521	7.790550202	9.50963012	4.334270763	4.133330567	5.402981675	-7.743
1	7.737545818	8.549095129	4.830423029	9.999516702	8.751725019	9.870521678	5.192956528	4.146712294	5.484334505	-9.685
1	12.767225	2.7858918	6.7114387	13.726662	9.797595	5.1506696	3.4484527	6.786623	4.862428	-6.654
1	11.965546	2.8320112	5.731071	14.426784	11.789934	3.913913	4.4394174	7.44054	7.767042	-11.046
1	10.104052	3.652253	5.457908	14.641172	7.46954	6.592947	3.6625328	5.990009	7.4188423	-8.587
1	11.806294	3.6518936	5.9956226	13.973646	11.1378355	3.7888017	2.6735694	9.250855	4.450325	-4.547
1	12.4437895	2.6660907	4.5787115	14.008899	11.166071	4.752819	4.241283	6.08932	5.399383	-7.879
1	10.6484165	6.701458	5.2990966	14.118994	9.9717455	3.2890117	3.0952606	6.3154497	2.6037874	-1.495
1	11.310877	2.746255	4.6478877	14.770367	10.503145	5.6293364	5.501399	10.052041	5.5854573	-8.256
1	12.156109	2.7923942	6.8893223	11.890655	9.466163	4.186569	2.716646	7.9526844	5.701362	-8.289
1	11.085588	2.9053454	5.166391	14.569044	9.441991	3.1508133	2.9024312	8.357378	5.0899634	-4.892
1	11.834449	2.7931552	5.171715	13.290508	10.870022	6.463532	2.752811	9.542981	4.966639	-5.954
1	11.643105	3.024805	6.1711736	13.791014	9.404778	3.2511985	4.2025356	7.377332	7.0908947	-10.124
1	11.6695795	2.82705	5.888938	9.206706	6.6438456	2.9429917	2.7931552	6.3512444	4.7323823	-8.780
1	10.894867	2.7369814	5.1405153	13.3508415	9.54399	5.6828628	2.688404	9.393403	5.855566	-6.680
1	11.80077	2.6719859	5.815941	12.200748	8.238156	4.2752805	5.5062294	9.299854	5.119856	-9.847
1	8.379378367	5.773468928	4.566815154	9.085605237	8.978710459	9.503627006	2.232660757	5.14974712	5.449561375	-7.656
1	5.914086097	5.193771743	4.672425342	8.640244936	7.8008999	8.049848549	4.548436625	5.091699834	4.465974465	-7.619
1	6.943686952	4.977279923	4.169925001	7.238404739	9.00870873	8.608809243	4.03562391	4.523561956	6.081083929	-11.155
1	7.005624549	5.791814071	5.87036472	8.354028938	6.279842694	6.997744026	5.504620392	5.517275693	5.368069877	-10.746
1	6.992088609	5.078951341	4.465974465	8.666756592	7.584210901	9.198199455	2.10433666	5.318316841	5.332707934	-6.955
1	6.548436625	6.727920455	5.887525271	9.746514321	9.374604819	9.586464526	5.03562391	6.040015679	5.5360529	-9.179
1	5.804776378	6.253611152	3.857980995	8.696272084	9.565292521	9.082149041	2.070389328	4.683696454	6.061776198	-7.367
